Timestamp,Email Address,Experience Level,Architecture Complexity,Performance Issues,Scalability Issues,Compatibility Issues,Budget Constraints,Schedule Constraints,Scope Constraints,Resource Constraints,Market Changes,Competition,Regulatory Requirements,Skill Gaps,Turnover,Team Communication Issues
01/21/2024 11:26:01,doughertyjohn@example.com,Beginner (0-2 years),No,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,No,No,No,No
07/30/2024 16:37:31,bmunoz@example.org,Intermediate (3-5 years),No,No,Yes,No,No,No,Yes,Yes,No,Yes,No,Yes,Yes,Yes
04/26/2024 18:33:39,michelesnyder@example.com,Beginner (0-2 years),No,Yes,No,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes
05/11/2024 13:24:01,beardmadeline@example.net,Intermediate (3-5 years),No,No,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes
06/16/2024 15:22:54,robertbarrett@example.org,Intermediate (3-5 years),Yes,Yes,Yes,No,No,No,No,Yes,Yes,No,No,No,No,No
02/16/2024 23:10:16,jacob95@example.org,Advanced (6+ years),No,Yes,Yes,No,No,No,No,Yes,No,Yes,No,No,No,Yes
03/06/2024 22:42:59,martinjack@example.com,Beginner (0-2 years),No,Yes,Yes,No,No,Yes,No,No,No,No,No,Yes,No,Yes
02/27/2024 22:42:05,julian77@example.net,Advanced (6+ years),Yes,No,Yes,Yes,Yes,No,No,Yes,Yes,No,Yes,No,No,Yes
01/15/2024 10:56:41,crystal77@example.com,Beginner (0-2 years),Yes,No,Yes,No,No,No,No,No,Yes,No,Yes,Yes,Yes,Yes
07/24/2024 07:40:26,dana70@example.org,Beginner (0-2 years),No,No,Yes,No,No,Yes,Yes,No,No,Yes,Yes,Yes,No,No
06/16/2024 14:58:43,jesse00@example.com,Beginner (0-2 years),Yes,No,No,Yes,Yes,Yes,No,No,Yes,No,No,Yes,Yes,No
01/01/2024 14:11:09,wlee@example.com,Advanced (6+ years),No,No,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Yes
01/06/2024 05:31:26,daniel32@example.net,Intermediate (3-5 years),Yes,Yes,Yes,No,No,Yes,No,No,Yes,No,Yes,No,No,No
05/27/2024 23:05:36,jonessandra@example.org,Advanced (6+ years),No,No,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes,No
02/04/2024 14:40:51,qfox@example.com,Advanced (6+ years),Yes,No,Yes,No,No,Yes,Yes,Yes,No,No,No,No,No,No
07/21/2024 21:11:05,wilsonlacey@example.net,Beginner (0-2 years),No,No,No,No,Yes,No,No,No,Yes,Yes,Yes,Yes,No,Yes
01/07/2024 11:17:52,kellywilliams@example.com,Intermediate (3-5 years),Yes,Yes,No,No,Yes,No,Yes,Yes,No,Yes,No,No,Yes,Yes
06/19/2024 00:50:00,xthomas@example.com,Intermediate (3-5 years),No,No,No,No,Yes,No,No,No,Yes,Yes,No,Yes,No,Yes
05/27/2024 03:46:22,hartvincent@example.com,Intermediate (3-5 years),No,No,Yes,No,Yes,No,Yes,No,No,No,Yes,No,Yes,No
03/15/2024 14:48:07,rogersrenee@example.net,Intermediate (3-5 years),No,No,Yes,Yes,Yes,No,No,Yes,Yes,Yes,No,No,Yes,Yes
03/05/2024 19:29:28,acaldwell@example.org,Beginner (0-2 years),No,Yes,Yes,Yes,Yes,No,No,No,No,No,Yes,No,Yes,No
05/14/2024 06:56:23,kellergregg@example.net,Intermediate (3-5 years),No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No
05/30/2024 20:07:39,nicolewalters@example.net,Beginner (0-2 years),No,No,Yes,No,Yes,No,Yes,No,Yes,No,No,Yes,Yes,Yes
08/01/2024 16:48:15,april79@example.com,Beginner (0-2 years),Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No
06/16/2024 15:58:24,sbrandt@example.net,Intermediate (3-5 years),No,No,Yes,No,No,Yes,Yes,Yes,No,Yes,No,Yes,No,Yes
02/04/2024 07:23:42,rachel68@example.com,Advanced (6+ years),Yes,Yes,No,Yes,No,No,No,No,Yes,Yes,No,Yes,Yes,No
05/14/2024 21:39:07,jessicathompson@example.net,Beginner (0-2 years),No,No,No,No,No,Yes,Yes,No,No,No,Yes,No,No,Yes
02/12/2024 21:09:59,robertwilliams@example.org,Advanced (6+ years),Yes,No,No,Yes,Yes,Yes,No,Yes,Yes,No,No,No,Yes,No
05/08/2024 23:11:49,rgonzales@example.net,Beginner (0-2 years),No,Yes,No,No,No,Yes,Yes,No,No,Yes,No,No,Yes,No
04/30/2024 05:15:15,george10@example.com,Intermediate (3-5 years),Yes,Yes,Yes,No,Yes,No,No,Yes,No,No,No,Yes,Yes,No
06/08/2024 17:12:56,rogeranderson@example.org,Intermediate (3-5 years),No,No,No,No,Yes,No,Yes,Yes,No,Yes,Yes,No,No,Yes
06/03/2024 07:53:54,ejones@example.com,Advanced (6+ years),Yes,No,No,No,Yes,Yes,Yes,No,Yes,No,No,No,No,Yes
06/16/2024 23:57:54,tspencer@example.net,Beginner (0-2 years),No,No,No,Yes,Yes,No,Yes,Yes,No,Yes,No,No,No,No
01/28/2024 17:42:13,jennifer80@example.org,Intermediate (3-5 years),Yes,No,No,No,No,No,Yes,Yes,Yes,No,No,Yes,Yes,Yes
07/24/2024 01:22:44,keithjenkins@example.org,Intermediate (3-5 years),Yes,No,No,No,Yes,Yes,No,Yes,No,Yes,No,No,Yes,No
05/19/2024 09:20:12,groberts@example.org,Intermediate (3-5 years),Yes,Yes,Yes,No,Yes,No,Yes,No,Yes,No,No,Yes,Yes,No
06/02/2024 22:43:22,aschneider@example.net,Beginner (0-2 years),No,No,No,No,No,Yes,No,Yes,No,Yes,Yes,Yes,No,Yes
07/11/2024 12:35:16,hawkinsmichael@example.com,Advanced (6+ years),Yes,Yes,No,No,Yes,No,Yes,No,No,Yes,No,No,No,Yes
07/02/2024 13:58:13,adamsricky@example.net,Beginner (0-2 years),No,No,No,No,No,No,Yes,Yes,No,Yes,No,No,Yes,Yes
01/30/2024 02:17:04,michele27@example.net,Advanced (6+ years),No,No,No,No,Yes,Yes,No,Yes,No,No,No,Yes,No,No
07/22/2024 12:11:28,rparker@example.net,Advanced (6+ years),No,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,Yes,No
07/22/2024 19:01:04,ellisvalerie@example.net,Beginner (0-2 years),No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,Yes,Yes
03/14/2024 13:27:01,ericvaughn@example.org,Advanced (6+ years),Yes,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No
01/24/2024 06:39:22,anthonyjohn@example.org,Beginner (0-2 years),No,No,No,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes
02/02/2024 10:40:34,thomasprice@example.com,Beginner (0-2 years),Yes,Yes,No,Yes,No,No,Yes,No,Yes,Yes,No,No,No,Yes
02/02/2024 13:50:58,debra06@example.net,Beginner (0-2 years),No,Yes,No,No,Yes,No,No,No,Yes,Yes,No,Yes,No,Yes
01/05/2024 19:37:21,jose53@example.com,Intermediate (3-5 years),Yes,No,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,No,No,No
05/05/2024 08:07:16,abaker@example.org,Intermediate (3-5 years),No,No,Yes,No,No,No,No,Yes,No,Yes,No,Yes,Yes,No
01/15/2024 12:40:58,martinezmichael@example.com,Advanced (6+ years),No,No,Yes,No,No,Yes,Yes,No,No,No,No,Yes,No,No
06/01/2024 00:46:25,carrie22@example.net,Beginner (0-2 years),Yes,No,Yes,Yes,No,Yes,Yes,No,Yes,Yes,No,No,Yes,Yes
02/09/2024 10:28:25,moorelogan@example.com,Beginner (0-2 years),No,Yes,No,Yes,No,Yes,Yes,No,No,Yes,Yes,No,Yes,No
06/30/2024 16:03:55,moranscott@example.net,Intermediate (3-5 years),No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No
04/15/2024 10:44:36,vleach@example.org,Beginner (0-2 years),No,No,Yes,No,Yes,No,No,Yes,Yes,Yes,No,No,Yes,No
07/07/2024 17:17:15,egarcia@example.org,Intermediate (3-5 years),No,Yes,No,No,No,Yes,No,Yes,No,Yes,No,No,No,No
06/03/2024 04:04:22,michaeljohnson@example.com,Advanced (6+ years),No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes
01/26/2024 20:50:43,ebaker@example.com,Advanced (6+ years),No,Yes,Yes,No,Yes,No,Yes,No,Yes,No,Yes,Yes,Yes,Yes
05/25/2024 18:19:37,rachel17@example.net,Beginner (0-2 years),No,Yes,Yes,No,Yes,Yes,No,No,Yes,No,No,Yes,Yes,No
06/01/2024 21:15:54,tonya62@example.com,Intermediate (3-5 years),No,Yes,Yes,No,No,Yes,No,No,No,No,Yes,No,Yes,Yes
06/20/2024 14:11:42,timothy73@example.org,Intermediate (3-5 years),Yes,No,Yes,No,Yes,Yes,No,No,No,No,Yes,Yes,Yes,No
06/21/2024 14:48:19,rbrown@example.com,Intermediate (3-5 years),No,No,Yes,Yes,Yes,No,Yes,No,Yes,Yes,No,No,Yes,No
04/27/2024 18:41:23,townsendcharles@example.com,Intermediate (3-5 years),Yes,Yes,No,Yes,No,Yes,Yes,No,Yes,No,No,No,No,No
05/08/2024 10:45:13,jennifercampbell@example.org,Advanced (6+ years),No,No,No,Yes,No,Yes,Yes,Yes,No,Yes,No,No,No,Yes
03/28/2024 03:51:32,lindastewart@example.org,Advanced (6+ years),Yes,Yes,No,No,No,Yes,No,Yes,No,Yes,Yes,Yes,No,Yes
01/24/2024 10:21:21,levi70@example.com,Advanced (6+ years),Yes,Yes,No,No,Yes,No,Yes,Yes,No,Yes,Yes,Yes,No,Yes
03/06/2024 18:30:35,thomasryan@example.com,Beginner (0-2 years),Yes,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No
06/15/2024 12:56:07,rowlandjames@example.com,Advanced (6+ years),No,Yes,No,No,No,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes
01/15/2024 16:28:39,ymanning@example.com,Intermediate (3-5 years),No,Yes,No,No,No,Yes,No,No,Yes,No,No,Yes,No,No
01/12/2024 11:30:02,turneranthony@example.net,Beginner (0-2 years),Yes,No,Yes,Yes,Yes,No,No,Yes,No,Yes,No,Yes,No,Yes
04/28/2024 17:21:03,thomassteven@example.org,Intermediate (3-5 years),No,No,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,No,Yes
07/01/2024 21:06:17,lesherri@example.net,Advanced (6+ years),No,No,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No
06/21/2024 20:16:20,rsmith@example.net,Beginner (0-2 years),Yes,No,Yes,No,No,No,Yes,Yes,No,No,Yes,Yes,Yes,Yes
02/12/2024 17:07:50,isanchez@example.net,Beginner (0-2 years),No,No,Yes,No,Yes,Yes,No,Yes,No,Yes,No,Yes,Yes,No
02/07/2024 15:29:46,scottandrea@example.net,Advanced (6+ years),Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,No,No,No
04/20/2024 16:26:24,dustinsutton@example.net,Beginner (0-2 years),Yes,No,Yes,No,No,Yes,No,Yes,Yes,No,No,Yes,Yes,Yes
05/23/2024 19:53:15,marksadam@example.net,Beginner (0-2 years),No,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes
04/04/2024 04:45:54,brownmichael@example.org,Beginner (0-2 years),Yes,No,Yes,No,Yes,No,Yes,No,Yes,Yes,No,Yes,Yes,No
03/28/2024 12:15:08,xhall@example.org,Beginner (0-2 years),No,No,No,No,No,Yes,Yes,No,Yes,Yes,No,Yes,No,No
01/18/2024 11:03:22,alexandrathompson@example.com,Beginner (0-2 years),No,Yes,Yes,No,No,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes
01/13/2024 13:10:25,harrislucas@example.com,Beginner (0-2 years),No,No,No,No,Yes,No,Yes,Yes,No,Yes,No,No,No,No
06/02/2024 23:05:27,qavery@example.org,Advanced (6+ years),No,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes
01/12/2024 22:50:16,rachel51@example.com,Beginner (0-2 years),Yes,No,No,Yes,No,No,Yes,No,Yes,Yes,No,No,No,Yes
05/21/2024 21:12:59,uscott@example.net,Advanced (6+ years),No,Yes,Yes,No,No,Yes,No,Yes,Yes,No,Yes,Yes,No,Yes
02/23/2024 02:28:27,jenniferchambers@example.org,Intermediate (3-5 years),No,No,No,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No,Yes,No
03/31/2024 22:39:44,yrichardson@example.org,Intermediate (3-5 years),No,Yes,Yes,No,No,Yes,Yes,No,Yes,No,Yes,No,No,Yes
06/27/2024 08:45:33,deborah08@example.org,Intermediate (3-5 years),Yes,No,Yes,No,No,No,Yes,No,No,Yes,Yes,Yes,No,Yes
05/16/2024 21:50:57,garciabrittany@example.net,Beginner (0-2 years),Yes,Yes,Yes,No,Yes,Yes,Yes,No,No,Yes,No,Yes,Yes,Yes
04/29/2024 09:13:49,matthew67@example.com,Intermediate (3-5 years),No,No,No,No,No,No,Yes,No,No,Yes,No,Yes,No,Yes
04/24/2024 04:44:02,fosterjeanne@example.net,Intermediate (3-5 years),No,No,Yes,No,No,Yes,No,Yes,No,No,Yes,No,No,Yes
04/02/2024 11:08:16,leanthony@example.net,Intermediate (3-5 years),No,Yes,Yes,No,No,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No
07/03/2024 09:27:18,uperry@example.org,Beginner (0-2 years),No,Yes,No,No,Yes,Yes,No,No,Yes,Yes,No,Yes,No,Yes
07/24/2024 03:28:19,james92@example.com,Intermediate (3-5 years),No,No,No,No,No,No,Yes,Yes,Yes,No,Yes,No,Yes,No
01/14/2024 19:19:37,glopez@example.net,Advanced (6+ years),Yes,No,No,Yes,No,Yes,No,No,No,Yes,No,No,Yes,No
06/24/2024 14:46:02,sarahthomas@example.net,Beginner (0-2 years),No,No,Yes,Yes,No,No,No,Yes,Yes,No,Yes,No,No,Yes
04/04/2024 22:33:33,charlesallen@example.net,Intermediate (3-5 years),Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes
06/15/2024 06:32:48,eric43@example.org,Advanced (6+ years),Yes,Yes,Yes,Yes,No,No,No,No,No,Yes,No,No,Yes,Yes
01/15/2024 02:05:22,lewispatrick@example.com,Beginner (0-2 years),No,Yes,No,No,No,Yes,No,No,No,Yes,Yes,Yes,No,No
